sensor_id,sensor_name,sensor_latitude,sensor_longitude,area_type,measurement_timestamp,pollutant,pollutant_value,pollutant_unit,date,hour,is_weekend,season,timestamp_rounded,weather_timestamp,temperature_c,humidity_percent,pressure_hpa,wind_speed_ms,wind_direction_deg,precipitation_mm,weather_condition,visibility_km,road_edges,road_length_km,industrial_area,commercial_area,residential_area,green_space,water_body,educational,medical,transportation,building_density,aqi,pollution_category,traffic_influence,month,day_of_week,is_rush_hour
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,PM2.5,69.35,μg/m³,2025-08-27,0,False,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,24.0,82,1006,2.7,48,0.2,Partly Cloudy,12.5,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,200,Unhealthy,Low,8,2,0
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,PM10,51.09,μg/m³,2025-08-27,0,False,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,24.0,82,1006,2.7,48,0.2,Partly Cloudy,12.5,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50,Good,Low,8,2,0
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,NO2,33.54,μg/m³,2025-08-27,0,False,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,24.0,82,1006,2.7,48,0.2,Partly Cloudy,12.5,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50,Good,Low,8,2,0
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,CO,1.37,mg/m³,2025-08-27,0,False,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,24.0,82,1006,2.7,48,0.2,Partly Cloudy,12.5,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50,Good,Low,8,2,0
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,SO2,23.92,μg/m³,2025-08-27,0,False,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,24.0,82,1006,2.7,48,0.2,Partly Cloudy,12.5,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50,Good,Low,8,2,0
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,O3,24.76,μg/m³,2025-08-27,0,False,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,24.0,82,1006,2.7,48,0.2,Partly Cloudy,12.5,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50,Good,Low,8,2,0
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 04:00:00,PM2.5,105.15,μg/m³,2025-08-27,4,False,Summer,2025-08-27 04:00:00,2025-08-27 04:00:00,23.8,91,1006,4.5,195,1.9,Fog,10.2,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,200,Unhealthy,Low,8,2,0
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 04:00:00,PM10,119.65,μg/m³,2025-08-27,4,False,Summer,2025-08-27 04:00:00,2025-08-27 04:00:00,23.8,91,1006,4.5,195,1.9,Fog,10.2,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,100,Moderate,Low,8,2,0
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 04:00:00,NO2,41.54,μg/m³,2025-08-27,4,False,Summer,2025-08-27 04:00:00,2025-08-27 04:00:00,23.8,91,1006,4.5,195,1.9,Fog,10.2,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50,Good,Low,8,2,0
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 04:00:00,CO,1.85,mg/m³,2025-08-27,4,False,Summer,2025-08-27 04:00:00,2025-08-27 04:00:00,23.8,91,1006,4.5,195,1.9,Fog,10.2,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50,Good,Low,8,2,0
